Date,Open,High,Low,Close,Adj_Close,Volume,VIX,Treasury_10Y
2018-01-02,107.62999725341797,108.0199966430664,106.80999755859375,107.94999694824219,85.51602935791016,13578800.0,9.770000457763672,2.46
2018-01-03,107.86000061035156,108.48999786376953,107.4800033569336,108.05999755859375,85.60316467285156,11901000.0,9.149999618530273,2.44
2018-01-04,108.36000061035156,110.02999877929688,108.19999694824219,109.04000091552734,86.82949829101562,12953700.0,9.220000267028809,2.46
2018-01-05,109.26000213623047,109.55000305175781,107.77999877929688,108.33999633789062,86.27205657958984,14155000.0,9.220000267028809,2.47
2018-01-08,108.1500015258789,108.68000030517578,107.69999694824219,108.5,86.39948272705078,12466500.0,9.520000457763672,2.49
2018-01-09,108.72000122070312,109.62999725341797,108.48999786376953,109.05000305175781,86.83746337890625,13292300.0,10.079999923706055,2.55
2018-01-10,109.47000122070312,110.69999694824219,109.38999938964844,110.25,87.79300689697266,15834500.0,9.819999694824219,2.55
2018-01-11,110.66999816894531,110.93000030517578,110.05000305175781,110.83999633789062,88.26284790039062,13676800.0,9.880000114440918,2.54
2018-01-12,111.6500015258789,112.8499984741211,110.83999633789062,112.66999816894531,89.72007751464844,18884200.0,10.15999984741211,2.55
2018-01-16,111.51000213623047,113.43000030517578,111.06999969482422,112.2699966430664,89.40155792236328,22703300.0,11.65999984741211,2.54
2018-01-17,111.88999938964844,113.30000305175781,111.30999755859375,112.98999786376953,89.97492218017578,14940300.0,11.90999984741211,2.57
2018-01-18,112.76000213623047,113.72000122070312,112.2699966430664,113.26000213623047,90.18989562988281,14572900.0,12.220000267028809,2.62
2018-01-19,113.94000244140625,114.33999633789062,112.80000305175781,113.01000213623047,89.9908218383789,18785500.0,11.270000457763672,2.64
2018-01-22,112.66000366210938,114.38999938964844,112.5,114.33000183105469,91.04195404052734,12475700.0,11.029999732971191,2.66
2018-01-23,113.66999816894531,114.63999938964844,113.3499984741211,114.20999908447266,90.94640350341797,12320800.0,11.100000381469727,2.63
2018-01-24,114.86000061035156,116.0,114.66000366210938,115.66999816894531,92.1090087890625,15904500.0,11.470000267028809,2.65
2018-01-25,116.04000091552734,116.16999816894531,115.08000183105469,115.69999694824219,92.13289642333984,13510000.0,11.579999923706055,2.63
2018-01-26,115.69999694824219,116.31999969482422,114.95999908447266,116.31999969482422,92.6266098022461,13883900.0,11.079999923706055,2.66
2018-01-29,116.0199966430664,117.3499984741211,116.0199966430664,116.19999694824219,92.53105163574219,11679900.0,13.84000015258789,2.7
2018-01-30,115.52999877929688,116.5999984741211,114.9800033569336,115.11000061035156,91.66307830810547,14279100.0,14.789999961853027,2.73
2018-01-31,115.6500015258789,116.66000366210938,115.16000366210938,115.66999816894531,92.1090087890625,13141400.0,13.539999961853027,2.72
2018-02-01,115.7699966430664,116.98999786376953,115.4800033569336,116.87000274658203,93.06458282470703,13800600.0,13.470000267028809,2.78
2018-02-02,116.48999786376953,116.91999816894531,114.08999633789062,114.27999877929688,91.00215148925781,16477300.0,17.309999465942383,2.84
2018-02-05,113.0,114.58999633789062,103.9800033569336,108.80000305175781,86.63837432861328,30097600.0,37.31999969482422,2.77
2018-02-06,106.8499984741211,112.4800033569336,106.61000061035156,112.11000061035156,89.27415466308594,33114800.0,29.979999542236328,2.79
2018-02-07,111.55000305175781,114.44999694824219,111.1500015258789,112.87000274658203,89.87934112548828,21878300.0,27.729999542236328,2.84
2018-02-08,113.11000061035156,113.11000061035156,107.83999633789062,107.87999725341797,85.90577697753906,27425800.0,33.459999084472656,2.85
2018-02-09,109.0999984741211,111.05000305175781,106.2300033569336,110.04000091552734,87.62580108642578,28188000.0,29.059999465942383,2.83
2018-02-12,111.16999816894531,112.7300033569336,110.06999969482422,111.73999786376953,88.97953033447266,18043300.0,25.610000610351562,2.86
2018-02-13,111.31999969482422,113.05000305175781,110.80000305175781,112.43000030517578,89.52899169921875,16358200.0,24.969999313354492,2.83
2018-02-14,112.62999725341797,115.2699966430664,112.52999877929688,115.02999877929688,91.59938049316406,15186900.0,19.260000228881836,2.91
